date,metric,category,geography,unit,series_type,value
2012-07-01,Household spending,Health,Tasmania,$ Millions,Seasonally Adjusted,112.8
2012-07-01,Household spending,"Hotels, cafes and restaurants",Tasmania,$ Millions,Seasonally Adjusted,116.2
2012-07-01,Household spending,Miscellaneous goods and services,Tasmania,$ Millions,Seasonally Adjusted,93.0
2012-07-01,Household spending,Non Discretionary,Tasmania,$ Millions,Seasonally Adjusted,351.0
2012-07-01,Household spending,Recreation and culture,Tasmania,$ Millions,Seasonally Adjusted,117.1
2012-07-01,Household spending,Services,Tasmania,$ Millions,Seasonally Adjusted,381.7
2012-07-01,Household spending,Total (Household Spending Categories),Tasmania,$ Millions,Seasonally Adjusted,905.1
2012-07-01,Household spending,Transport,Tasmania,$ Millions,Seasonally Adjusted,168.9
2012-07-01,Household spending,Alcoholic beverages and tobacco,Victoria,$ Millions,Seasonally Adjusted,589.8
2012-07-01,Household spending,Clothing and footwear,Victoria,$ Millions,Seasonally Adjusted,712.2
2012-07-01,Household spending,Discretionary,Victoria,$ Millions,Seasonally Adjusted,7019.7
2012-07-01,Household spending,Food,Victoria,$ Millions,Seasonally Adjusted,1630.8
2012-07-01,Household spending,Furnishings and household equipment,Victoria,$ Millions,Seasonally Adjusted,842.3
2012-07-01,Household spending,Goods,Victoria,$ Millions,Seasonally Adjusted,6352.4
2012-07-01,Household spending,Health,Victoria,$ Millions,Seasonally Adjusted,1115.9
2012-07-01,Household spending,"Hotels, cafes and restaurants",Victoria,$ Millions,Seasonally Adjusted,898.8
2012-07-01,Household spending,Miscellaneous goods and services,Victoria,$ Millions,Seasonally Adjusted,1013.0
2012-07-01,Household spending,Non Discretionary,Victoria,$ Millions,Seasonally Adjusted,3906.1
2012-07-01,Household spending,Recreation and culture,Victoria,$ Millions,Seasonally Adjusted,2074.9
2012-07-01,Household spending,Services,Victoria,$ Millions,Seasonally Adjusted,4573.4
2012-07-01,Household spending,Total (Household Spending Categories),Victoria,$ Millions,Seasonally Adjusted,10925.8
2012-07-01,Household spending,Transport,Victoria,$ Millions,Seasonally Adjusted,2048.1
2012-07-01,Household spending,Alcoholic beverages and tobacco,Western Australia,$ Millions,Seasonally Adjusted,262.7
2012-07-01,Household spending,Clothing and footwear,Western Australia,$ Millions,Seasonally Adjusted,280.1
